trip_id,package_key,day_number,title,summary,activities,meals_included,image_url,image_urls
dom-kashmir-4n5d,premium,4,Pahalgam transfer,Scenic drive nature walk,Transfer|Nature walk,Breakfast,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800|https://images.unsplash.com/photo-1566836610590-4a4a3b3e4b8a?w=800
dom-kashmir-4n5d,premium,5,Departure,Checkout and return,Drop,Breakfast,https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800,https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800|https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800|https://images.unsplash.com/photo-1597075687490-8ebb67367227?w=800
grp-manali-3n4d,basic,1,Arrival and group briefing,Check-in coordinator meet-and-greet,Check-in|Group briefing|Welcome dinner,Dinner,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800|https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800
grp-manali-3n4d,basic,2,Local sightseeing,Old Manali temples and mall road,Van tour|Mall road|Cafes,Breakfast|Dinner,https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800,https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800|https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800|https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800
grp-manali-3n4d,basic,3,Solang and adventure,Snow views optional activities,Solang|Ropeway optional|Leisure,Breakfast|Dinner,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800
grp-manali-3n4d,basic,4,Departure,Checkout and group return,Checkout|Group drop to boarding point,Breakfast,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800|https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
grp-manali-3n4d,premium,1,Arrival and briefing,Deluxe wing check-in coordinator,Check-in|Group briefing|Welcome dinner,Dinner,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800|https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800|https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
grp-manali-3n4d,premium,2,Local sightseeing,Private group van and guide add-on,Van tour|Mall road|Cafes,Breakfast|Dinner,https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800,https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800
grp-manali-3n4d,premium,3,Solang premium,Priority slots at activities,Solang|Adventure bundle optional|Leisure,Breakfast|Dinner,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800|https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800
grp-manali-3n4d,premium,4,Departure,Checkout and transfer,Checkout|Group drop,Breakfast,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800|https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
